Medida,V1 [Volts],V2 [Volts],V4 [Volts],Escala 
1,6.08,6.19,0.50,3.00E-07
2,5.60,6.19,0.50,1.00E-07
3,5.00,6.19,0.50,1.00E-08
4,4.60,6.19,0.50,1.00E-08
5,6.09,6.19,0.50,
6,6.09,4.61,0.50,
7,6.09,2.21,0.50,
8,6.09,1.00,0.50,
9,6.09,6.19,0.10,
10,6.09,6.19,1.00,
11,6.09,6.19,3.00,
12,6.09,6.19,6.47,
