-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.820000	0
-3.787780	0
-3.787780	0
-3.755560	0
-3.755560	0
-3.723340	0
-3.691120	0
-3.658900	0
-3.658900	0
-3.626680	0
-3.594460	0
-3.594460	0
-3.562240	0
-3.530020	0
-3.497800	0
-3.497800	0
-3.465580	0
-3.433360	0
-3.401140	0
-3.368920	0
-3.368920	0
-3.336700	0
-3.304480	0
-3.272260	0
-3.240040	0
-3.240040	0
-3.207820	0
-3.175600	0
-3.143380	0
-3.143380	0
-3.111160	0
-3.078940	0
-3.046720	0
-3.014500	0
-2.982280	0
-2.982280	0
-2.950060	0
-2.917840	0
-2.885620	0
-2.853400	0
-2.853400	0
-2.821180	0
-2.788960	0
-2.756740	0
-2.724520	0
-2.724520	0
-2.692300	0
-2.660080	0
-2.627860	0
-2.595640	0
-2.563420	0
-2.563420	0
-2.531200	0
-2.498980	0
-2.466760	0
-2.434540	0
-2.434540	0
-2.402320	0
-2.370100	0
-2.337880	0
-2.305660	0
-2.273440	0
-2.273440	0
-2.241220	0
-2.209000	0
-2.176780	0
-2.144560	0
-2.144560	0
-2.112340	0
-2.080120	0
-2.047900	0
-2.015680	0
-1.983460	0
-1.983460	0
-1.951240	0
-1.919020	0
-1.886800	0
-1.854580	0
-1.822360	0
-1.822360	0
-1.790140	0
-1.757920	0
-1.725700	0
-1.693480	0
-1.693480	0
-1.661260	0
-1.629040	0
-1.596820	0
-1.564600	0
-1.532380	0
-1.532380	0
-1.500160	0
-1.467940	0
-1.435720	0
-1.403500	0
-1.403500	0
-1.371280	0
-1.339060	0
-1.306840	0
-1.274620	0
-1.242400	0
-1.242400	0
-1.210180	0
-1.177960	0
-1.145740	0
-1.113520	0
-1.113520	0
-1.081300	0
-1.049080	0
-1.016860	0
-0.984640	0
-0.952420	0
-0.952420	0
-0.920200	0
-0.887980	0
-0.855760	0
-0.823540	0
-0.823540	0
-0.791320	0
-0.759100	0
-0.726880	0
-0.694660	0
-0.662440	0
-0.662440	0
-0.630220	0
-0.565780	0
-0.533560	0
-0.533560	0
-0.501340	0
-0.469120	0
-0.436900	0
-0.404680	0
-0.372460	0
-0.372460	0
-0.340240	0
-0.308020	0
-0.275800	0
-0.243580	0
-0.243580	0
-0.211360	0
-0.179140	0
-0.146920	0
-0.114700	0
-0.082480	0
-0.082480	0
-0.050260	0
-0.018040	0
0.014180	0
0.046400	0
0.046400	0
0.078620	0
0.110840	0
0.143060	0
0.175280	0
0.207500	0
0.207500	0
0.239720	0
0.271940	0
0.304160	0
0.336380	0
0.336380	0
0.368600	0
0.400820	0
0.433040	0
0.465260	0
0.465260	0
0.497480	0
0.529700	0
0.561920	0
0.594140	0
0.594140	0
0.626360	0
0.658580	0
0.690800	0
0.723020	0
0.755240	0
0.755240	0
0.787460	0
0.819680	0
0.851900	0
0.884120	0
0.884120	0
0.916340	0
0.948560	0
0.980780	0
1.013000	0
1.013000	0
1.045220	0
1.077440	0
1.109660	0
1.141880	0
1.141880	0
1.174100	0
1.206320	0
1.238540	0
1.270760	0
